id,valor,peso,volumen,categoria
230,70.93,45.27,2.79,tools
231,32.87,19.37,6.68,clothing
232,44.14,34.41,8.02,food
233,12.5,43.67,25.17,food
234,52.28,29.57,10.06,electronics
235,48.66,33.68,36.06,medical
236,90.61,34.2,7.16,medical
237,94.8,49.39,12.67,medical
238,70.58,23.38,12.78,medical
239,86.07,6.23,15.87,electronics
240,59.61,49.64,12.51,medical
241,31.08,28.73,27.75,tools
242,91.51,37.51,33.48,electronics
243,78.7,12.28,32.28,food
244,65.48,31.42,27.43,food
245,64.68,45.27,26.21,electronics
246,79.92,2.63,15.23,food
247,13.56,15.46,30.15,food
248,24.08,39.54,35.18,electronics
249,55.43,45.76,33.39,electronics
250,91.83,47.27,38.73,electronics
251,75.92,17.6,5.49,tools
252,18.37,48.36,34.55,medical
253,96.89,40.42,15.27,medical
254,6.32,27.29,18.74,electronics
255,60.53,41.3,37.67,tools
256,69.11,24.1,25.16,clothing
257,36.16,30.89,26.26,medical
258,91.39,15.81,16.92,food
259,9.31,2.82,39.84,tools
260,14.23,44.48,6.29,medical
261,40.25,47.52,28.16,clothing
262,44.82,37.37,7.03,medical
263,67.22,41.85,25.01,electronics
264,8.11,19.16,18.29,food
265,86.27,5.87,27.74,clothing
266,90.66,32.6,3.36,electronics
267,23.03,6.99,34.07,medical
268,13.71,11.39,25.94,tools
269,9.8,17.34,39.56,clothing
270,24.49,41.66,22.61,clothing
271,25.52,43.62,13.81,food
272,79.92,30.2,11.81,food
273,98.82,27.47,32.14,tools
274,67.8,2.26,1.58,food
275,60.94,1.77,11.35,food
276,75.46,26.78,30.08,medical
277,47.59,18.74,24.15,medical
278,52.86,47.33,2.69,clothing
279,33.65,32.52,2.21,medical
280,85.49,21.89,5.21,medical
281,11.98,4.96,24.72,tools
282,16.99,31.59,23.83,electronics
283,41.19,30.27,12.5,clothing
284,62.52,5.86,28.37,clothing
285,73.48,11.54,18.61,food
286,44.31,41.54,16.55,tools
287,34.69,16.31,10.94,food
288,70.25,24.24,4.56,tools
289,13.86,5.73,29.81,food
290,57.86,29.74,22.9,electronics
291,68.65,21.13,35.07,medical
292,87.47,36.33,38.77,clothing
293,34.68,6.08,20.79,food
294,67.39,11.99,5.22,clothing
295,39.92,38.37,23.39,medical
296,85.29,48.75,32.92,clothing
297,69.12,28.28,24.75,electronics
298,7.75,14.39,30.73,electronics
299,38.35,9.89,6.59,medical
300,11.61,37.31,38.9,tools
301,75.88,11.54,17.37,electronics
302,19.95,16.27,13.65,clothing
303,61.64,44.28,7.07,clothing
304,9.73,5.0,18.28,medical
305,51.14,22.66,11.65,clothing
306,15.81,22.07,12.05,clothing
307,51.23,33.69,2.77,medical
308,98.52,3.68,8.97,food
309,77.9,38.44,12.29,tools
310,5.73,37.6,7.85,medical
311,55.6,12.28,22.79,electronics
312,11.85,43.23,2.65,tools
313,48.68,4.82,13.21,medical
314,59.47,35.77,17.29,tools
315,43.48,48.34,7.7,clothing
316,48.71,34.79,15.11,medical
317,85.23,12.92,23.97,clothing
318,12.47,43.66,30.09,food
319,36.64,9.24,20.91,tools
320,55.41,10.5,31.27,electronics
321,74.1,41.13,32.79,food
322,14.77,13.54,7.77,food
323,77.22,33.12,7.91,medical
324,49.08,28.62,23.6,clothing
325,66.08,49.34,13.61,electronics
326,19.34,4.35,18.25,electronics
327,80.65,29.98,14.73,tools
328,34.49,23.14,3.22,electronics
329,12.29,43.35,34.36,clothing
330,61.44,19.84,23.63,tools
331,47.72,40.68,26.42,electronics
332,62.48,25.57,38.35,medical
333,14.83,45.06,14.39,tools
334,52.93,9.46,10.66,medical
335,99.14,26.68,24.78,electronics
336,40.42,14.86,16.94,electronics
337,69.5,3.57,25.6,electronics
338,11.26,5.63,27.46,electronics
339,28.94,42.73,38.61,clothing
340,87.96,17.33,23.73,food
341,92.09,16.2,26.59,medical
342,17.25,35.73,4.3,clothing
343,40.78,39.79,32.71,clothing
344,13.88,33.85,20.83,tools
345,39.45,9.83,9.35,medical
346,23.24,50.0,7.04,electronics
347,85.22,5.96,31.06,clothing
348,8.59,17.5,30.89,food
349,61.74,8.56,8.05,clothing
350,81.86,9.11,18.07,medical
351,39.61,36.26,38.81,clothing
352,32.07,37.68,18.51,clothing
353,27.72,48.31,31.59,food
354,39.94,47.41,39.39,medical
355,78.1,39.13,20.61,medical
356,96.8,41.03,32.25,food
357,87.94,3.56,19.74,electronics
358,57.68,6.03,33.99,tools
359,32.08,38.39,11.64,clothing
360,19.0,22.44,37.91,food
361,82.59,44.35,37.29,medical
362,10.06,25.6,10.2,tools
363,40.62,2.38,37.3,electronics
364,80.18,7.74,12.19,medical
365,71.13,7.8,28.52,medical
366,63.46,45.39,1.74,food
367,84.32,27.89,29.36,clothing
368,45.21,39.03,10.27,tools
369,9.54,21.57,31.96,medical
370,10.97,42.0,20.49,clothing
371,6.56,26.25,10.44,food
372,32.67,1.08,14.76,clothing
373,44.57,33.55,4.34,electronics
374,11.43,26.78,20.79,clothing
375,57.64,20.13,19.34,medical
376,98.2,13.43,1.63,tools
377,37.76,36.91,25.5,clothing
378,74.84,17.29,2.73,clothing
379,37.16,32.5,33.38,medical
380,98.18,24.45,8.11,food
381,10.99,39.03,18.85,electronics
382,24.15,39.76,35.55,electronics
383,93.67,26.25,39.58,clothing
384,49.97,2.79,26.23,electronics
385,38.91,39.26,34.77,electronics
386,30.96,40.17,18.04,medical
387,75.61,44.84,16.08,food
388,52.14,25.38,37.05,clothing
389,30.34,5.05,17.56,medical
390,62.23,41.29,22.27,electronics
391,14.75,17.07,12.53,medical
392,62.25,21.88,27.9,electronics
393,47.48,36.61,36.55,clothing
394,99.82,14.45,39.22,tools
395,12.13,32.24,15.17,food
396,95.51,8.0,24.7,medical
397,8.31,4.29,31.36,electronics
398,39.4,47.52,2.26,food
399,69.51,47.49,15.51,tools
400,59.52,26.94,16.52,electronics
401,28.71,6.56,29.69,medical
402,54.19,45.76,5.59,electronics
403,71.88,11.51,24.86,medical
404,24.02,7.65,3.89,food
405,90.37,22.81,4.42,electronics
406,68.44,35.77,22.45,electronics
407,89.68,42.72,28.76,food
408,80.4,25.93,5.73,food
409,80.25,12.6,20.27,electronics
410,57.63,19.08,32.34,clothing
411,17.33,44.33,3.56,medical
412,99.96,36.22,21.5,medical
413,83.22,4.61,38.92,tools
414,47.75,34.33,14.44,clothing
415,65.78,9.92,38.68,medical
416,52.77,43.54,33.42,clothing
417,19.54,9.07,13.58,food
418,37.87,47.1,35.9,tools
419,28.81,32.12,22.48,food
420,64.38,31.11,4.64,food
421,61.22,29.45,7.68,clothing
422,73.46,30.65,33.86,clothing
423,8.91,43.33,4.17,clothing
424,30.14,11.33,23.31,clothing
425,65.7,25.4,25.46,electronics
426,65.98,15.8,10.55,medical
427,33.26,4.58,3.34,medical
428,44.48,23.76,14.27,food
429,34.7,36.2,29.63,electronics
430,97.66,7.41,15.45,clothing
431,15.09,12.85,5.78,medical
432,28.55,5.74,12.32,medical
433,87.1,21.49,38.54,food
434,82.28,46.75,29.12,food
435,77.5,25.42,21.07,medical
436,88.51,25.37,4.51,medical
437,53.02,48.37,9.39,electronics
438,9.62,14.79,24.3,medical
439,32.15,1.4,5.19,food
440,88.83,36.65,30.79,electronics
441,9.3,3.51,22.91,electronics
442,57.56,4.6,20.67,clothing
443,31.57,49.47,27.54,tools
444,17.22,5.74,15.55,electronics
445,57.99,18.91,6.63,clothing
446,53.37,25.5,2.77,food
447,72.79,40.39,21.25,food
448,62.59,26.26,13.79,clothing
449,35.26,20.25,25.04,electronics
450,61.4,25.86,20.88,medical
451,72.33,15.69,32.81,electronics
452,36.47,6.37,17.25,electronics
453,80.69,36.54,27.83,tools
454,61.71,14.01,26.57,clothing
455,59.88,36.35,23.76,food
456,54.8,36.34,31.21,medical
457,19.04,34.36,2.23,tools
458,23.12,22.61,17.33,medical
459,70.6,21.11,31.22,medical
460,87.92,37.06,3.43,food
461,54.27,28.48,39.93,medical
462,54.92,16.37,7.75,clothing
463,37.52,18.36,31.11,electronics
464,62.96,10.42,10.61,clothing
465,33.36,47.13,39.31,electronics
466,71.97,34.82,20.07,medical
467,38.14,46.75,32.02,electronics
468,32.34,29.1,22.18,medical
469,82.75,47.78,32.38,electronics
470,9.0,47.81,4.08,medical
471,67.32,37.62,9.35,clothing
472,30.76,28.54,11.59,tools
473,63.49,29.75,10.46,clothing
474,26.44,12.41,4.91,electronics
475,73.15,5.93,31.06,tools
476,96.63,48.92,7.16,medical
477,50.36,10.77,38.59,electronics
478,32.11,3.9,30.98,clothing
479,27.06,37.2,34.16,tools
480,91.76,9.58,35.41,food
481,93.72,2.78,33.61,medical
482,22.7,37.7,35.02,electronics
483,88.29,1.45,23.15,tools
484,93.2,17.42,18.72,clothing
485,54.81,44.57,6.23,clothing
486,49.46,10.45,5.39,food
487,74.46,32.77,29.03,tools
488,74.98,39.75,23.14,food
489,21.67,42.95,35.98,medical
490,53.95,5.25,27.1,food
491,98.26,24.4,37.5,tools
492,29.77,12.54,30.4,electronics
493,33.68,36.42,1.45,electronics
494,70.81,4.04,5.61,electronics
495,20.17,34.62,37.0,electronics
496,70.58,32.3,37.68,electronics
497,63.39,11.74,6.21,food
498,48.22,49.45,15.57,clothing
499,91.72,38.11,32.28,food
500,77.38,34.34,24.24,tools
501,54.92,26.88,15.11,clothing
502,15.66,41.61,36.21,food
503,59.41,8.34,13.8,clothing
504,46.97,34.33,28.96,medical
505,13.64,26.01,32.54,medical
506,17.53,21.36,22.99,clothing
507,48.93,40.54,29.21,medical
508,29.17,1.15,9.5,tools
509,9.3,17.88,3.49,tools
510,93.79,4.38,37.42,tools
511,32.27,9.82,6.28,medical
512,40.57,44.68,18.49,medical
513,40.69,34.45,26.81,clothing
514,17.63,43.15,5.63,clothing
515,42.34,7.24,39.17,tools
516,76.84,48.95,19.06,clothing
517,45.29,19.58,9.96,medical
518,37.89,14.51,37.56,tools
519,8.06,33.35,24.98,tools
520,27.86,4.3,24.16,medical
521,61.79,35.46,2.9,tools
522,43.22,12.48,9.47,tools
523,18.31,49.68,10.13,clothing
524,35.3,30.3,27.23,electronics
525,27.51,43.94,39.44,clothing
526,26.0,15.72,3.38,clothing
527,88.57,45.67,25.41,medical
528,57.81,3.3,14.43,medical
529,79.65,16.62,17.24,food
530,33.49,10.01,21.98,food
531,85.69,15.74,28.6,medical
532,91.9,28.56,38.74,clothing
533,55.35,20.03,10.94,electronics
534,66.44,46.19,34.04,tools
535,55.89,41.64,3.01,medical
536,69.0,30.54,35.07,food
537,81.44,29.79,27.19,food
538,50.54,43.6,13.99,tools
539,25.12,10.31,29.92,medical
540,91.87,35.09,28.45,medical
541,91.94,28.05,31.25,medical
542,49.29,32.79,13.03,electronics
543,53.72,25.37,4.85,medical
544,77.35,16.69,8.92,electronics
545,44.32,28.56,9.63,food
546,6.54,28.11,23.78,medical
547,33.04,10.61,9.97,clothing
548,84.17,25.47,26.53,electronics
549,29.45,41.26,38.69,medical
550,48.78,36.91,14.73,food
551,73.43,24.93,36.76,clothing
552,99.08,47.9,21.43,tools
553,94.79,33.74,30.81,medical
554,18.06,31.9,3.65,food
555,5.87,25.78,15.55,clothing
556,65.58,46.76,36.6,medical
557,6.49,27.08,17.04,tools
558,55.29,14.46,39.12,tools
559,52.71,35.2,17.79,food
560,15.17,5.72,6.81,food
561,63.88,13.37,14.82,medical
562,12.51,48.01,18.9,food
563,99.07,12.07,27.68,tools
564,67.1,43.05,30.62,tools
565,43.5,19.48,19.56,tools
566,71.77,5.05,33.97,electronics
567,58.76,43.04,4.72,clothing
568,92.32,12.26,36.15,clothing
569,50.17,3.28,3.9,electronics
570,90.43,28.61,2.28,electronics
571,6.49,11.15,6.62,medical
572,93.24,15.66,22.99,clothing
573,84.29,20.07,35.96,electronics
574,41.47,37.25,31.83,tools
575,52.58,48.74,3.09,medical
576,27.05,4.72,24.6,clothing
577,95.71,20.44,31.17,tools
578,65.24,39.39,18.57,food
579,38.8,47.12,17.84,clothing
580,67.76,5.2,25.13,food
581,72.75,5.02,7.01,food
582,75.27,16.52,5.16,tools
583,94.58,22.79,30.69,tools
584,17.59,10.18,18.5,clothing
585,53.68,6.06,4.5,clothing
586,13.84,30.3,13.65,medical
587,6.17,21.28,31.39,clothing
588,90.99,48.93,23.31,food
589,70.11,9.31,11.49,electronics
590,51.85,4.1,17.95,medical
591,33.48,39.35,15.08,food
592,73.49,25.29,25.05,medical
593,15.16,15.93,38.0,electronics
594,84.95,19.61,34.63,medical
595,36.8,40.96,34.52,clothing
596,17.93,16.71,37.94,food
597,50.51,9.7,16.53,electronics
598,32.69,35.05,20.15,clothing
599,79.29,16.97,11.93,medical
600,39.68,46.67,8.79,clothing
601,22.09,38.61,2.05,medical
602,94.58,11.27,32.11,tools
603,82.8,39.99,16.96,medical
604,18.22,15.84,10.85,food
605,72.95,39.66,3.88,clothing
606,50.53,20.64,20.76,medical
607,56.65,39.75,15.02,clothing
608,61.41,45.81,5.27,food
609,67.47,18.4,26.23,tools
610,58.51,32.61,26.22,electronics
611,96.74,22.09,1.41,electronics
612,26.09,37.6,22.76,clothing
613,26.0,19.33,19.06,clothing
614,70.59,8.39,39.91,medical
615,14.93,21.38,38.51,tools
616,83.98,36.78,14.58,electronics
617,48.26,11.14,19.83,medical
618,14.27,36.38,18.65,tools
619,33.53,40.7,5.49,electronics
620,66.56,34.18,7.41,food
621,54.02,28.04,13.91,medical
622,96.05,12.36,16.8,food
623,22.71,33.21,16.43,clothing
624,88.89,23.03,17.75,tools
625,71.95,11.08,30.34,tools
626,59.85,40.18,21.94,electronics
627,35.97,23.42,11.23,medical
628,55.13,32.32,24.28,clothing
629,42.29,6.6,14.73,medical
630,63.65,40.87,28.53,electronics
631,92.27,29.92,27.21,electronics
632,16.2,15.96,8.14,food
633,53.53,21.49,6.38,medical
634,45.19,24.85,21.96,food
635,57.72,24.99,6.47,electronics
636,84.99,31.35,34.76,tools
637,51.04,10.56,15.97,clothing
638,53.02,25.25,27.7,medical
639,72.46,22.75,7.52,clothing
640,7.93,38.29,12.39,electronics
641,26.36,15.14,31.45,clothing
642,75.54,38.53,22.44,tools
643,59.41,14.13,22.18,electronics
644,56.49,38.08,30.64,medical
645,56.9,49.5,4.99,food
646,33.28,49.97,18.54,electronics
647,86.91,5.26,34.75,tools
648,78.69,12.61,32.62,clothing
649,70.47,43.19,24.8,medical
650,20.77,7.82,9.06,food
651,81.52,28.93,21.76,clothing
652,56.18,16.86,28.46,electronics
653,59.41,47.67,21.06,tools
654,17.88,37.75,17.05,tools
655,99.29,43.49,5.95,food
656,28.72,35.86,33.31,medical
657,51.5,29.29,11.48,medical
658,40.64,4.7,31.99,tools
659,43.27,37.74,28.09,electronics
660,48.2,24.91,23.7,tools
661,74.44,23.46,26.9,electronics
662,85.76,39.99,16.51,medical
663,83.36,25.24,13.59,electronics
664,37.09,29.32,23.08,medical
665,79.89,44.81,30.73,tools
666,14.46,39.41,18.92,tools
667,93.3,8.74,18.8,medical
668,24.22,34.74,6.14,electronics
669,20.1,46.7,11.69,electronics
670,28.79,19.22,36.25,food
671,9.92,31.65,29.31,food
672,45.78,5.47,4.71,food
673,50.3,7.5,9.82,medical
674,5.88,35.08,32.87,medical
675,70.93,24.41,9.93,tools
676,74.42,6.02,13.22,electronics
677,18.03,38.9,30.37,food
678,65.95,34.18,3.67,clothing
679,5.81,32.85,18.16,food
680,64.67,8.42,17.06,medical
681,86.7,5.25,4.92,tools
682,61.01,19.82,38.57,electronics
683,80.15,13.14,26.14,food
684,57.57,30.4,24.7,tools
685,85.55,33.26,12.76,clothing
686,62.66,10.24,16.28,tools
687,79.46,39.9,10.33,medical
688,15.71,25.48,24.16,clothing
689,89.43,1.59,15.08,electronics
690,17.54,43.18,23.17,electronics
691,56.9,9.47,19.37,tools
692,6.59,4.31,11.23,tools
693,92.65,47.49,16.52,electronics
694,64.71,25.55,17.2,medical
695,12.83,27.29,25.03,electronics
696,12.94,4.87,36.92,food
697,55.96,20.15,25.74,tools
698,34.47,22.44,38.18,food
699,10.5,5.22,17.94,medical
700,63.17,3.7,26.98,food
701,16.35,35.69,28.36,food
702,52.16,17.99,21.17,electronics
703,20.86,7.22,31.46,electronics
704,74.63,6.78,36.1,electronics
705,81.68,14.33,3.49,clothing
706,64.62,25.31,20.92,tools
707,52.46,28.78,15.34,electronics
708,78.47,44.82,27.29,tools
709,26.7,25.93,2.72,tools
710,28.23,24.12,15.94,food
711,22.0,48.06,2.38,medical
712,26.33,13.16,36.72,electronics
713,30.77,4.82,15.54,clothing
714,68.97,3.58,9.7,clothing
715,98.23,47.75,3.69,medical
716,87.27,38.9,13.12,tools
717,57.54,1.39,8.83,clothing
718,79.53,37.24,10.46,electronics
719,61.21,25.17,31.13,food
720,74.58,27.78,32.04,food
721,5.61,21.09,10.09,electronics
722,65.41,34.98,1.37,electronics
723,5.14,33.21,34.11,electronics
724,14.88,26.96,10.29,medical
725,96.31,48.66,6.55,electronics
726,13.84,46.14,35.99,clothing
727,44.24,44.88,18.88,tools
728,60.17,25.77,25.85,medical
729,12.11,28.82,17.96,food
730,27.49,13.79,13.29,medical
731,71.57,37.03,13.4,electronics
732,27.19,47.23,6.31,clothing
733,15.35,6.18,18.53,electronics
734,43.62,27.26,38.62,food
735,47.93,23.7,34.25,tools
736,19.97,34.62,33.23,clothing
737,8.83,41.96,13.78,tools
738,72.56,48.45,16.45,tools
739,69.33,13.75,39.64,tools
740,95.45,42.88,22.68,clothing
741,28.74,23.64,32.35,food
742,16.54,4.02,31.46,food
743,17.42,41.36,15.52,tools
744,60.32,13.68,32.7,tools
745,99.73,10.69,26.19,food
746,13.74,42.52,32.55,tools
747,9.06,23.59,7.55,clothing
748,46.15,36.5,20.35,medical
749,69.91,9.47,9.37,food
750,31.12,22.85,6.8,clothing
751,63.82,13.04,12.51,medical
752,88.86,24.47,4.42,medical
753,18.04,10.77,35.5,clothing
754,28.67,49.71,22.2,tools
755,98.99,39.31,15.01,clothing
756,79.24,17.86,23.06,electronics
757,41.9,9.81,13.44,food
758,7.78,40.72,11.96,medical
759,55.3,38.58,39.98,food
760,14.51,33.19,11.39,tools
761,77.58,47.44,23.45,medical
762,38.71,42.12,33.96,food
763,27.47,16.58,29.79,electronics
764,91.83,2.38,28.32,clothing
765,58.54,28.59,8.34,medical
766,56.5,9.6,2.48,tools
767,27.1,11.72,21.53,tools
768,36.51,31.09,32.45,electronics
769,73.11,46.02,33.93,electronics
770,10.66,8.24,28.48,food
771,78.56,42.48,34.57,tools
772,40.49,47.15,16.43,tools
773,36.97,16.81,39.06,medical
774,80.23,48.07,26.32,food
775,72.18,28.54,35.69,clothing
776,79.76,11.94,23.97,food
777,40.95,36.97,12.49,food
778,74.24,47.49,38.0,medical
779,85.82,38.77,23.13,food
780,62.23,46.13,38.73,food
781,65.77,6.1,20.35,electronics
782,75.81,12.66,39.31,food
783,65.44,48.19,33.04,electronics
784,47.43,14.0,10.73,tools
785,38.3,39.56,29.1,tools
786,41.66,36.9,38.79,medical
787,51.84,19.56,22.29,tools
788,83.74,39.65,23.54,food
789,20.45,4.61,33.98,electronics
790,6.91,13.8,5.08,electronics
791,21.16,19.4,29.55,clothing
792,94.47,48.92,14.18,clothing
793,89.86,35.52,17.82,food
794,62.7,22.28,3.09,electronics
795,24.53,10.31,28.19,clothing
796,30.2,14.79,10.26,tools
797,42.33,27.93,20.15,tools
798,39.28,21.95,12.49,clothing
799,50.63,5.75,9.07,electronics
800,97.82,24.2,5.5,medical
801,49.74,44.85,11.34,clothing
802,41.82,19.18,15.88,food
803,47.35,13.9,19.14,food
804,84.52,28.65,6.89,tools
805,13.14,17.85,22.12,clothing
806,26.61,3.99,16.1,clothing
807,44.77,27.24,34.81,medical
808,59.41,12.55,12.66,medical
809,90.76,36.0,20.58,clothing
810,81.04,34.2,25.19,tools
811,95.18,23.0,38.01,food
